"Word","IPA","POS","Category","Definition","Examples","Notes","Synonyms","Antonyms","SynonymDistinction"
"erudite","/ˈerudaɪt/","adj.","外貌性格","义1. 博学的；有学问的","义1:
  • The erudite professor cited rare texts.
  • His erudite lecture impressed all.
  • She is erudite yet humble.","名词 erudition；区别于 learned（也指博学，更平实）。","learned、scholarly、knowledgeable","ignorant、unlettered","learned 通用‘有学识’；scholarly 指‘学术的’；erudite 强调‘广博而深、博闻’。"
"peevish","/ˈpiːvɪʃ/","adj.","外貌性格","义1. 爱抱怨的；脾气坏的","义1:
  • The peevish child whined all day.
  • His peevish tone annoyed colleagues.
  • Don't be so peevish about small things.","名词 peevishness；近 petulant。","irritable、petulant、querulous","cheerful、good-natured","irritable 指‘易恼’；petulant 指‘任性地闹情绪’；peevish 强调‘为小事抱怨、性情乖戾’。"
"churlish","/ˈtʃɜːlɪʃ/","adj.","外貌性格","义1. 粗鲁无礼的；脾气坏的","义1:
  • He gave a churlish refusal.
  • It would be churlish to decline the gift.
  • Her churlish remark silenced the room.","较正式、贬义；名词 churlishness。","rude、boorish、surly","courteous、gracious","rude 通用‘粗鲁’；boorish 指‘粗野没教养’；churlish 强调‘无礼且脾气糟’。"
"statuesque","/stæˈtjuːesk/","adj.","外貌性格","义1. 雕像般端庄高挑的（多形容女性）","义1:
  • The statuesque model walked the runway.
  • She had a statuesque grace.
  • A statuesque figure stood at the door.","褒义，强调‘端庄、如雕塑般美’。","dignified、stately、majestic","ungainly","stately 指‘庄重’；majestic 指‘宏伟’；statuesque 特指‘身姿如雕像般优美挺拔’。"
"svelte","/svelte/","adj.","外貌性格","义1. 优雅苗条的","义1:
  • She looked svelte in the gown.
  • He kept svelte with daily yoga.
  • The dancer was slim and svelte.","源自法语，偏褒义、带‘优雅’。","slender、lithe、graceful","stout、ponderous","slender 通用‘纤细’；lithe 指‘柔软灵活’；svelte 强调‘苗条而优雅’。"
"ecosystem","/ˈiːkəʊsɪstəm/","n.","地理环境","义1. 生态系统","义1:
  • Coral reefs are fragile ecosystems.
  • Human activity disrupts the ecosystem.
  • The pond supports a rich ecosystem.","形容词 ecological（生态的）。","habitat、environment","","habitat 指‘物种栖息地’；environment 泛指‘环境’；ecosystem 强调整体‘生物+环境’的互动系统。"
"deforestation","/diːˌfɒrɪˈsteɪʃn/","n.","地理环境","义1. 森林砍伐","义1:
  • Deforestation accelerates climate change.
  • The region suffers severe deforestation.
  • Reforestation can reverse deforestation.","动词 deforest；反义 reforestation（造林）。","clear-cutting、logging","reforestation","logging 指‘伐木（产业）’；clear-cutting 指‘皆伐’；deforestation 是‘森林消失’这一现象。"
"emission","/iˈmɪʃn/","n.","地理环境","义1. 排放（物）","义1:
  • Carbon emissions must fall by 2030.
  • The factory cut its emissions by half.
  • Zero-emission vehicles are spreading.","常用 carbon / greenhouse gas emissions。","discharge、release","absorption","discharge 泛指‘排出（液/气）’；release 指‘释放’；emission 环境专指‘温室气体等排放’。"
"conservation","/ˌkɒnsəˈveɪʃn/","n.","地理环境","义1. 保护；保育（自然资源）","义1:
  • Wildlife conservation needs funding.
  • Water conservation saves the city.
  • She works in heritage conservation.","动词 conserve；形容词 conservative（保守的，注意歧义）。","preservation、protection","depletion、exploitation","preservation 指‘原样保存’；protection 指‘保护’；conservation 强调‘可持续利用式保育’。"
"peninsula","/pəˈnɪnsjələ/","n.","地理环境","义1. 半岛","义1:
  • Italy is a peninsula.
  • They hiked the peninsula's coast.
  • The peninsula juts into the sea.","形容词 peninsular。","headland","","headland 指‘海岬（小）’；peninsula 指‘三面环水的半岛’。"
"archipelago","/ˌɑːkɪˈpeləɡəʊ/","n.","地理环境","义1. 群岛","义1:
  • Indonesia is a vast archipelago.
  • The archipelago has over a thousand islands.
  • They sailed among the archipelago.","复数 archipelagos。","islands","","islands 泛指‘岛屿’；archipelago 是‘成群的群岛’。"
"monsoon","/mɒnˈsuːn/","n.","地理环境","义1. 季风；雨季","义1:
  • The monsoon brings heavy rain.
  • Rice depends on the summer monsoon.
  • The monsoon failed this year.","也指‘季风季节’；形容词 monsoon。","seasonal rains","","seasonal rains 是描述；monsoon 是气象专名‘季风/雨季’。"
"tundra","/ˈtʌndrə/","n.","地理环境","义1. 苔原（寒带无树平原）","义1:
  • Reindeer graze the tundra.
  • The tundra freezes in winter.
  • Permafrost underlies the tundra.","生态带；与 savanna 热带草原、taiga 针叶林并列。","polar plain","","polar plain 是描述；tundra 是生态专名‘苔原’。"
"drought","/draʊt/","n.","地理环境","义1. 干旱；旱灾","义1:
  • The drought ruined the harvest.
  • Prolonged drought emptied the reservoir.
  • Drought forced farmers to leave.","形容词 drought-stricken。","dry spell、aridity","flood、deluge","dry spell 指‘一段干期’；aridity 指‘干旱状态’；drought 是‘造成灾害的旱’。"
"estuary","/ˈestʃuəri/","n.","地理环境","义1. 河口（咸淡水交汇）","义1:
  • The river forms a wide estuary.
  • Estuaries teem with young fish.
  • The estuary is a protected wetland.","形容词 estuarine。","river mouth","","river mouth 是‘入海口’通俗说法；estuary 是‘受潮汐影响的河口湾’专名。"
"photosynthesis","/ˌfəʊtəʊˈsɪnθəsɪs/","n.","动植物","义1. 光合作用","义1:
  • Photosynthesis turns sunlight into sugar.
  • Plants perform photosynthesis in leaves.
  • Without photosynthesis, life would starve.","动词 photosynthesize；形容词 photosynthetic。","","",""
"carnivore","/ˈkɑːnɪvɔː(r)/","n.","动植物","义1. 肉食动物","义1:
  • The lion is a carnivore.
  • Carnivores sit atop the food chain.
  • A strict carnivore eats only meat.","形容词 carnivorous；反义 herbivore（草食）、omnivore（杂食）。","predator","herbivore","predator 指‘捕食者’；carnivore 是‘食性为肉’的分类词。"
"herbivore","/ˈhɜːbɪvɔː(r)/","n.","动植物","义1. 草食动物","义1:
  • The deer is a herbivore.
  • Herbivores graze on grasses.
  • Rabbits are small herbivores.","形容词 herbivorous；反义 carnivore。","plant-eater","carnivore","plant-eater 是描述；herbivore 是‘食草动物’分类词。"
"endangered","/ɪnˈdeɪndʒəd/","adj.","动植物","义1. 濒危的","义1:
  • The tiger is an endangered species.
  • Endangered habitats need protection.
  • Poaching makes rhinos endangered.","程度：vulnerable < endangered < critically endangered；反义 thriving。","threatened、at risk","thriving、abundant","threatened 泛指‘受威胁’；at risk 通用‘有风险’；endangered 是 IUCN‘濒危’正式等级。"
"extinct","/ɪkˈstɪŋkt/","adj.","动植物","义1. 灭绝的","义1:
  • The dodo is extinct.
  • Many species went extinct recently.
  • An extinct volcano no longer erupts.","名词 extinction（灭绝）；也形容‘熄灭的/死火山’。","gone、vanished","extant、alive","gone 通用‘没了’；vanished 指‘消失’；extinct 生物专指‘物种灭绝’。"
"canopy","/ˈkænəpi/","n.","动植物","义1. 树冠层；顶盖","义1:
  • Birds nest in the forest canopy.
  • Sunlight filters through the canopy.
  • The canopy shields the ground below.","也指‘华盖/罩’；形容词 canopied。","cover、ceiling","","cover 通用‘覆盖’；ceiling 指‘天花板’；canopy 专指‘树冠层/顶篷’。"
"fauna","/ˈfɔːnə/","n.","动植物","义1. 动物群（某区）","义1:
  • The island's fauna includes rare birds.
  • Australian fauna is unique.
  • The park protects its flora and fauna.","与 flora（植物群）对应；常 flora and fauna 连用。","animal life","","animal life 是描述；fauna 是‘某地区动物群’专名，与 flora 对举。"
"flora","/ˈflɔːrə/","n.","动植物","义1. 植物群（某区）","义1:
  • The region's flora is diverse.
  • Alpine flora survives the cold.
  • The guide lists local flora and fauna.","与 fauna（动物群）对应。","plant life","","plant life 是描述；flora 是‘某地区植物群’专名。"
"migration","/maɪˈɡreɪʃn/","n.","动植物","义1. 迁徙；迁移","义1:
  • Bird migration follows the seasons.
  • Wildebeest migration crosses the plains.
  • Human migration reshapes cities.","动词 migrate；形容词 migratory。","movement、displacement","","movement 通用‘移动’；displacement 指‘被迫 displacement’；migration 专指‘周期性/跨国迁徙’。"
"symbiotic","/ˌsɪmbaɪˈɒtɪk/","adj.","动植物","义1. 共生的","义1:
  • The relationship is symbiotic and mutual.
  • Clownfish and anemones are symbiotic.
  • They formed a symbiotic partnership.","名词 symbiosis；可互利也可寄生。","mutual、interdependent","parasitic","mutual 指‘相互’；interdependent 指‘互相依赖’；symbiotic 生物专指‘共生’。"
"species","/ˈspiːʃiːz/","n.","动植物","义1. 物种","义1:
  • This species is found only here.
  • A new species was discovered.
  • The species is at risk of loss.","单复同形 species；形容词 specific。","kind、breed","","kind 通用‘种类’；breed 指‘品种（家畜）’；species 是生物分类‘物种’。"
"baroque","/bəˈrɒk/","adj./n.","艺术音乐","义1. 巴洛克（艺术/音乐风格，华丽繁复）","义1:
  • Bach wrote baroque music.
  • The cathedral is a baroque masterpiece.
  • Baroque art delights in ornament.","约 1600–1750；反义/后继 classical（古典）。","ornate、elaborate","austere、minimalist","ornate 指‘华丽装饰’；elaborate 指‘精细复杂’；baroque 是特定历史风格‘繁复华丽’。"
"impressionism","/ɪmˈpreʃənɪzəm/","n.","艺术音乐","义1. 印象派（绘画，重光影瞬间感）","义1:
  • Monet is a leader of impressionism.
  • Impressionism broke with strict realism.
  • The show surveys French impressionism.","形容词 impressionist；代表：莫奈、雷诺阿。","plein-air painting","","plein-air 指‘外光写生’（技法）；impressionism 是‘印象派’流派。"
"surrealism","/səˈrɪəlɪzəm/","n.","艺术音乐","义1. 超现实主义","义1:
  • Dali is a surrealism icon.
  • Surrealism fuses dream and reality.
  • The film owes much to surrealism.","形容词 surreal（超现实的）；代表：达利、马格利特。","dreamlike art","","dreamlike 形容‘如梦’；surrealism 是‘超现实’艺术流派。"
"chiaroscuro","/ˌkiːɑːrəˈskʊərəʊ/","n.","艺术音乐","义1. 明暗对照法（绘画用光）","义1:
  • Caravaggio mastered chiaroscuro.
  • The chiaroscuro adds drama.
  • Renaissance art used chiaroscuro.","意大利语‘明+暗’；也用于电影用光。","shading、contrast","","shading 指‘明暗渐变’；contrast 指‘对比’；chiaroscuro 是‘强明强暗’的造型技法。"
"sonata","/səˈnɑːtə/","n.","艺术音乐","义1. 奏鸣曲（乐器作品）","义1:
  • Beethoven's Moonlight Sonata is famous.
  • She performed a piano sonata.
  • The sonata has three movements.","区别于 symphony（交响曲，管弦乐）。","","",""
"symphony","/ˈsɪmfəni/","n.","艺术音乐","义1. 交响曲（管弦乐大型作品）","义1:
  • Mahler's symphony moved the hall.
  • The orchestra played a symphony.
  • His Ninth Symphony is beloved.","复数 symphonies；交响乐团 symphony orchestra。","","",""
"harmony","/ˈhɑːməni/","n.","艺术音乐","义1. 和声；和谐","义1:
  • The voices blend in harmony.
  • The chords create rich harmony.
  • Social harmony needs tolerance.","反义 dissonance（不和谐）；形容词 harmonious。","concord、agreement","dissonance、discord","concord 通用‘一致’；agreement 指‘协议/同意’；harmony 音乐指‘和声’，引申‘和谐’。"
"tempo","/ˈtempəʊ/","n.","艺术音乐","义1. 速度；节奏（乐曲）","义1:
  • The conductor slowed the tempo.
  • A brisk tempo lifted the piece.
  • Keep a steady tempo.","复数 tempos / tempi；也喻‘步调’。","pace、speed","slowness","pace 通用‘步速’；speed 指‘速度’；tempo 音乐专指‘演奏速度’。"
"melody","/ˈmelədi/","n.","艺术音乐","义1. 旋律","义1:
  • The melody is easy to hum.
  • She sang the melody alone.
  • The melody stays in your head.","形容词 melodic；与 harmony（和声）相对。","tune、theme","","tune 口语‘曲调’；theme 指‘主题’；melody 是‘旋律’专业词。"
"libretto","/lɪˈbretoʊ/","n.","艺术音乐","义1. 歌剧剧本；唱词","义1:
  • He wrote the libretto for the opera.
  • The libretto is in Italian.
  • Read the libretto before the show.","复数 librettos / libretti。","script、text","","script 通用‘剧本’；text 指‘文本’；libretto 专指‘歌剧/音乐剧唱词本’。"
"ensemble","/ɒnˈsɒmbl/","n.","艺术音乐","义1. 合奏团；全体（演出）","义1:
  • The ensemble played a quartet.
  • She joined the dance ensemble.
  • The period ensemble uses old instruments.","源自法语；也指‘整体服装搭配’。","group、company","","group 通用‘团体’；company 指‘剧团’；ensemble 专指‘小型合奏/表演团体’。"
"souvenir","/ˌsuːvəˈnɪə(r)/","n.","旅游","义1. 纪念品","义1:
  • She bought a souvenir magnet.
  • I kept the ticket as a souvenir.
  • The shop sells local souvenirs.","也拼 souvenier（误）；动词‘留念’。","memento、keepsake","","memento 指‘唤起回忆之物’；keepsake 指‘被珍藏的物件’；souvenir 是‘旅游纪念品’。"
"excursion","/ɪkˈskɜːʃn/","n.","旅游","义1. 短途游览；远足","义1:
  • We took a day excursion to the lake.
  • The excursion included a guide.
  • A boat excursion left at noon.","比 trip 短、更‘出游’；动词 excurse。","trip、outing、jaunt","","trip 通用‘旅行’；outing 指‘外出游玩’；excursion 强调‘当日往返的短途游览’。"
"transit","/ˈtrænzɪt/","n.","旅游","义1. 中转；公共交通","义1:
  • We were in transit for eight hours.
  • The city has good public transit.
  • Allow time for transit between flights.","in transit = 在运输/转机中；形容词 transiting。","transfer、transport","","transfer 指‘换乘’；transport 指‘交通系统’；transit 强调‘途中/中转’状态。"
"visa","/ˈviːzə/","n.","旅游","义1. 签证","义1:
  • You need a visa to enter the country.
  • Her visa expires next month.
  • Apply for a tourist visa early.","复数 visas；动词 approve / deny a visa。","permit、entry clearance","","permit 通用‘许可’；entry clearance 指‘入境许可’；visa 是‘签证’专名。"
"customs","/ˈkʌstəmz/","n.","旅游","义1. 海关","义1:
  • Declare the goods at customs.
  • Customs checked our bags.
  • We cleared customs in ten minutes.","作‘海关’恒用复数形式；也指‘习俗’。","border control、immigration","","immigration 指‘入境审查（人）’；border control 指‘边境管控’；customs 专指‘行李/货物关税检查’。"
"backpacking","/ˈbækpækɪŋ/","n.","旅游","义1. 背包旅行","义1:
  • He went backpacking across Asia.
  • Backpacking teaches independence.
  • She enjoys budget backpacking.","动词 backpack；背包客 backpacker。","hiking、budget travel","","hiking 指‘徒步’；budget travel 指‘穷游’；backpacking 是‘背囊自助旅行’。"
"sightseeing","/ˈsaɪtsiːɪŋ/","n.","旅游","义1. 观光；游览","义1:
  • We spent the day sightseeing.
  • A sightseeing bus toured the city.
  • Sightseeing tired but delighted us.","形容词 sightseeing（a sightseeing tour）。","tourism、visiting","","tourism 指‘旅游业’；visiting 指‘拜访’；sightseeing 是‘看景点’的游览活动。"
"hospitality","/ˌhɒspɪˈtæləti/","n.","旅游","义1. 好客；款待（也指酒店业）","义1:
  • Their hospitality warmed our stay.
  • She works in hospitality.
  • Southern hospitality is famous.","形容词 hospitable；反义 inhospitality。","welcome、guest care","hostility","welcome 指‘欢迎’；guest care 指‘宾客服务’；hospitality 是‘好客/接待业’专名。"
"indigenous","/ɪnˈdɪdʒənəs/","adj.","旅游","义1. 土著的；原生的","义1:
  • Indigenous people have lived here for millennia.
  • The plant is indigenous to the region.
  • Respect indigenous cultures when you travel.","名词 indigenous people / population；近 native（注意 native 在部分语境敏感）。","native、aboriginal","foreign、introduced","native 通用‘本土的’；aboriginal 多指‘澳洲原住’；indigenous 是‘原住民/原生’的正式、尊重用语。"
"ecotourism","/ˈiːkəʊtʊərɪzəm/","n.","旅游","义1. 生态旅游","义1:
  • Ecotourism protects fragile habitats.
  • They promote ecotourism over mass tourism.
  • Ecotourism funds local communities.","合成词 eco- + tourism；强调‘负责任的、保护导向’旅游。","sustainable tourism、nature tourism","mass tourism","nature tourism 指‘自然游’；sustainable tourism 指‘可持续旅游’；ecotourism 强调‘生态保育+社区受益’。"
"Julius Caesar","/ˈdʒuːliəs ˈsiːzə(r)/","n.","历史人物","义1. 尤利乌斯·凯撒（约前100–前44，罗马独裁官，遇刺）","义1:
  • Julius Caesar crossed the Rubicon in 49 BC.
  • Julius Caesar was assassinated on the Ides of March.
  • Julius Caesar reformed the calendar.","‘越过卢比孔河’喻破釜沉舟；名言 Veni, vidi, vici（我来、我见、我胜）。","","",""
"Cleopatra","/kliːəˈpætrə/","n.","历史人物","义1. 克利奥帕特拉七世（前69–前30，埃及托勒密王朝末代女王）","义1:
  • Cleopatra allied with Caesar and Antony.
  • Cleopatra was the last pharaoh of Egypt.
  • Cleopatra's death ended the dynasty.","与罗马政治纠葛；希腊化埃及统治者。","","",""
"Napoleon","/nəˈpəʊliən/","n.","历史人物","义1. 拿破仑·波拿巴（1769–1821，法国皇帝，军事天才）","义1:
  • Napoleon crowned himself emperor in 1804.
  • Napoleon was defeated at Waterloo.
  • Napoleon's code reshaped European law.","《拿破仑法典》影响深远；流放圣赫勒拿岛。","","",""
"Shakespeare","/ˈʃeɪkspɪə(r)/","n.","历史人物","义1. 威廉·莎士比亚（1564–1616，英国剧作家、诗人）","义1:
  • Shakespeare wrote about 38 plays.
  • Shakespeare coined many English words.
  • Hamlet is by Shakespeare.","‘生或死’To be or not to be 出自其手；被誉为语言大师。","","",""
"Isaac Newton","/ˈaɪzək ˈnjuːtən/","n.","历史人物","义1. 艾萨克·牛顿（1643–1727，英国物理学家，经典力学奠基人）","义1:
  • Isaac Newton formulated the laws of motion.
  • Isaac Newton described universal gravitation.
  • Isaac Newton co-invented calculus.","《自然哲学的数学原理》；与莱布尼茨各自发明微积分。","","",""
"Charles Darwin","/tʃɑːlz ˈdɑːwɪn/","n.","历史人物","义1. 查尔斯·达尔文（1809–1882，英国博物学家，进化论提出者）","义1:
  • Charles Darwin sailed on the Beagle.
  • Charles Darwin published On the Origin of Species in 1859.
  • Charles Darwin proposed natural selection.","《物种起源》；自然选择理论。","","",""
"Abraham Lincoln","/ˈeɪbrəhæm ˈlɪŋkən/","n.","历史人物","义1. 亚伯拉罕·林肯（1809–1865，美国第16任总统，废奴）","义1:
  • Abraham Lincoln issued the Emancipation Proclamation.
  • Abraham Lincoln led the Union in the Civil War.
  • Abraham Lincoln was assassinated in 1865.","解放黑奴；葛底斯堡演说。","","",""
"Mahatma Gandhi","/məˈhætmə ˈɡɑːndi/","n.","历史人物","义1. 圣雄甘地（1869–1948，印度独立运动领袖，非暴力抗争）","义1:
  • Mahatma Gandhi led non-violent resistance.
  • Mahatma Gandhi marched for salt rights.
  • Mahatma Gandhi inspired civil-rights movements.","非暴力不合作（Satyagraha）；遇刺。","","",""
"Nelson Mandela","/ˈnelsn mænˈdelə/","n.","历史人物","义1. 纳尔逊·曼德拉（1918–2013，南非反种族隔离领袖，总统）","义1:
  • Nelson Mandela spent 27 years in prison.
  • Nelson Mandela became president in 1994.
  • Nelson Mandela reconciled a divided nation.","终结种族隔离；诺贝尔和平奖。","","",""
"Winston Churchill","/ˈwɪnstən ˈtʃɜːtʃɪl/","n.","历史人物","义1. 温斯顿·丘吉尔（1874–1965，英国首相，二战领袖）","义1:
  • Winston Churchill rallied Britain in 1940.
  • Winston Churchill coined 'iron curtain'.
  • Winston Churchill won the Nobel in Literature.","战时演讲；‘铁幕’一词。","","",""
"Qin Shi Huang","/tʃɪn ʃɪ ˈhwɑːŋ/","n.","历史人物","义1. 秦始皇（前259–前210，中国首位皇帝，统一六国）","义1:
  • Qin Shi Huang unified China in 221 BC.
  • Qin Shi Huang built the first Great Wall link.
  • Qin Shi Huang standardized writing and weights.","统一文字、度量衡、币制；兵马俑为其陵寝。","","",""
"Genghis Khan","/ˈdʒeŋɡɪs ˈkɑːn/","n.","历史人物","义1. 成吉思汗（约1162–1227，蒙古帝国建立者）","义1:
  • Genghis Khan united the Mongol tribes.
  • Genghis Khan built the largest land empire.
  • Genghis Khan reformed the cavalry.","蒙古帝国奠基；横扫欧亚。","","",""
"Hammurabi","/ˌhæmʊˈrɑːbi/","n.","历史人物","义1. 汉谟拉比（约前1792–前1750，古巴比伦王，颁布法典）","义1:
  • Hammurabi issued one of the first law codes.
  • The Code of Hammurabi used 'an eye for an eye'.
  • Hammurabi unified Mesopotamia.","《汉谟拉比法典》——现存最早成文法之一。","","",""
"Socrates","/ˈsɒkrətiːz/","n.","历史人物","义1. 苏格拉底（前470–前399，古希腊哲学家，问答法）","义1:
  • Socrates taught by questioning.
  • Socrates was sentenced to death by Athens.
  • The Socratic method probes assumptions.","‘产婆术’问答法；无著作，事迹见柏拉图对话。","","",""
"Plato","/ˈplɑːtəʊ/","n.","历史人物","义1. 柏拉图（前428–前348，古希腊哲学家，理念论）","义1:
  • Plato founded the Academy in Athens.
  • Plato wrote the Republic.
  • Plato taught that forms are ideal.","苏格拉底弟子；亚里士多德之师；理念论（Forms）。","","",""
"Aristotle","/ˈærɪstɒtl/","n.","历史人物","义1. 亚里士多德（前384–前322，古希腊哲学家，百科全书式学者）","义1:
  • Aristotle tutored Alexander the Great.
  • Aristotle founded logic as a discipline.
  • Aristotle's ethics stress virtue.","柏拉图弟子；著作涵盖逻辑、物理、伦理、政治。","","",""
"lion","/ˈlaɪən/","n.","动植物","义1. 狮子","义1:
  • The lion is a top predator of the savanna.
  • A lioness hunted alone while the males rested.
  • The lion roared to mark its territory.","雄狮 lion，雌狮 lioness；幼崽 cub。象征 courage / royalty。","","",""
"tiger","/ˈtaɪɡə(r)/","n.","动植物","义1. 老虎","义1:
  • The tiger stalks its prey through tall grass.
  • Tigers are solitary and mostly nocturnal.
  • The South China tiger is critically endangered.","big cat 之一；幼崽 cub。与 lion 不同，tiger 独居。","","",""
"elephant","/ˈelɪfənt/","n.","动植物","义1. 大象","义1:
  • The elephant uses its trunk to drink.
  • Elephants have remarkable long-term memory.
  • Poaching threatens wild elephant populations.","trunk 象鼻；tusk 象牙。象征 memory / wisdom。","","",""
"giraffe","/dʒəˈrɑːf/","n.","动植物","义1. 长颈鹿","义1:
  • The giraffe browses leaves high in the trees.
  • A giraffe's neck has the same number of vertebrae as ours.
  • Giraffes live in loose herds on the savanna.","世界上最高的陆生动物。","","",""
"zebra","/ˈzebrə/","n.","动植物","义1. 斑马","义1:
  • The zebra's stripes deter biting flies.
  • Zebras graze alongside wildebeest on the plains.
  • No two zebras have identical stripes.","stripes 条纹；常群居。","","",""
"kangaroo","/ˌkæŋɡəˈruː/","n.","动植物","义1. 袋鼠","义1:
  • The kangaroo moves by powerful hops.
  • A joey lives in its mother's pouch.
  • Kangaroos are endemic to Australia.","marsupial 有袋类；joey 幼崽；pouch 育儿袋。","","",""
"dolphin","/ˈdɒlfɪn/","n.","动植物","义1. 海豚","义1:
  • The dolphin leapt clean out of the water.
  • Dolphins use echolocation to find fish.
  • A pod of dolphins raced the bow wave.","marine mammal 海洋哺乳动物；pod 群。","","",""
"whale","/weɪl/","n.","动植物","义1. 鲸","义1:
  • The blue whale is the largest animal ever.
  • Whales sing complex songs to communicate.
  • The whale breached and crashed back down.","mammal 非 fish；breach 跃出水面。","","",""
"bat","/bæt/","n.","动植物","义1. 蝙蝠","义1:
  • The bat navigated the cave by echolocation.
  • Bats are the only mammals capable of true flight.
  • Fruit bats pollinate many tropical trees.","nocturnal 夜行性；echolocation 回声定位。","","",""
"fox","/fɒks/","n.","动植物","义1. 狐狸","义1:
  • The fox slipped silently into the henhouse.
  • A fox is clever and notoriously cunning.
  • Arctic foxes turn white in winter.","象征 cunning 狡猾；cub 幼崽。","","",""
"wolf","/wʊlf/","n.","动植物","义1. 狼","义1:
  • The wolf howled at the moon.
  • Wolves hunt in coordinated packs.
  • The wolf pack defended its territory fiercely.","pack 狼群；复数 wolves。象征 loyalty / wildness。","","",""
"bear","/beə(r)/","n.","动植物","义1. 熊","义1:
  • The bear fished for salmon in the stream.
  • Bears hibernate through the coldest months.
  • A panda is a bear that eats almost only bamboo.","hibernate 冬眠；cub 幼崽。","","",""
"deer","/dɪə(r)/","n.","动植物","义1. 鹿","义1:
  • The deer froze at the sound of footsteps.
  • A stag shed its antlers each spring.
  • Deer grazed quietly at the forest edge.","复数同形 deer；雄鹿 stag / buck，雌鹿 doe，幼鹿 fawn。","","",""
"monkey","/ˈmʌŋki/","n.","动植物","义1. 猴子","义1:
  • The monkey swung from branch to branch.
  • Capuchin monkeys use tools to crack nuts.
  • The monkey chattered noisily in the canopy.","primate 灵长类；与 ape（猿，无尾）不同。","","",""
"gorilla","/ɡəˈrɪlə/","n.","动植物","义1. 大猩猩","义1:
  • The gorilla beat its chest in display.
  • Gorillas are gentle, plant-eating apes.
  • Mountain gorillas are severely endangered.","ape 类（无尾）；与 monkey 不同。","","",""
"panda","/ˈpændə/","n.","动植物","义1. 熊猫","义1:
  • The giant panda feeds mainly on bamboo.
  • A panda cub is pink and tiny at birth.
  • Pandas are a global symbol of conservation.","giant panda 大熊猫；red panda 小熊猫（不同科）。","","",""
"camel","/ˈkɑːml/","n.","动植物","义1. 骆驼","义1:
  • The camel stores fat in its hump.
  • Camels can go days without water.
  • A caravan of camels crossed the desert.","hump 驼峰；dromedary 单峰驼，Bactrian 双峰驼。","","",""
"hedgehog","/ˈhedʒhɒɡ/","n.","动植物","义1. 刺猬","义1:
  • The hedgehog curled into a ball at danger.
  • Hedgehogs forage for insects at night.
  • A hedgehog's spines deter predators.","spines 刺；curl into a ball 卷成球。","","",""
"otter","/ˈɒtə(r)/","n.","动植物","义1. 水獭","义1:
  • The sea otter floats on its back.
  • Otters hold hands while sleeping to stay together.
  • Otters slide down muddy banks for fun.","semiaquatic 半水生；playful 性情。","","",""
"eagle","/ˈiːɡl/","n.","动植物","义1. 鹰（大型猛禽）","义1:
  • The eagle soared on rising thermals.
  • The bald eagle is the national bird of the U.S.
  • An eagle snatched a fish from the lake.","bird of prey 猛禽；象征 strength / freedom。","","",""
"owl","/aʊl/","n.","动植物","义1. 猫头鹰","义1:
  • The owl hooted from the oak.
  • Owls hunt silently under cover of darkness.
  • An owl turned its head nearly all the way round.","nocturnal；象征 wisdom。rotate head 转头。","","",""
"penguin","/ˈpeŋɡwɪn/","n.","动植物","义1. 企鹅","义1:
  • The penguin waddled to the water's edge.
  • Emperor penguins breed in the Antarctic winter.
  • Penguins ‘fly’ underwater with their flippers.","flightless 不会飞；flippers 鳍状肢； Antarctic 南极。","","",""
"parrot","/ˈpærət/","n.","动植物","义1. 鹦鹉","义1:
  • The parrot mimicked the doorbell perfectly.
  • Parrots are among the most intelligent birds.
  • A flock of parrots screeched overhead.","mimic 模仿（声音）；常作宠物。","","",""
"swan","/swɒn/","n.","动植物","义1. 天鹅","义1:
  • The swan glided across the lake.
  • A swan can be fiercely defensive of its nest.
  • Two swans formed a lifelong pair bond.","象征 grace / love；pair bond 终身配偶。","","",""
"peacock","/ˈpiːkɒk/","n.","动植物","义1. 孔雀","义1:
  • The peacock fanned its dazzling tail.
  • A peacock displayed to attract a peahen.
  • Peacocks strut across palace gardens.","雄 peacock，雌 peahen；tail 尾屏 display 开屏。","","",""
"flamingo","/fləˈmɪŋɡəʊ/","n.","动植物","义1. 火烈鸟","义1:
  • Flamingos stand on one leg in shallow lakes.
  • Their pink colour comes from carotenoid food.
  • A flock of flamingos took off in unison.","pink 粉色；stand on one leg 单脚站立。","","",""
"hummingbird","/ˈhʌmɪŋbɜːd/","n.","动植物","义1. 蜂鸟","义1:
  • The hummingbird hovered before the flower.
  • Its wings beat too fast to see.
  • Hummingbirds drink nectar through a long beak.","hover 悬停；nectar 花蜜；smallest bird。","","",""
"snake","/sneɪk/","n.","动植物","义1. 蛇","义1:
  • The snake slithered into the grass.
  • Some snakes constrict their prey; others venom it.
  • The snake shed its old skin.","reptile 爬行类；slither 滑行；shed skin 蜕皮。","","",""
"lizard","/ˈlɪzəd/","n.","动植物","义1. 蜥蜴","义1:
  • The lizard basked on a warm rock.
  • Many lizards can regrow a lost tail.
  • The gecko is a small lizard that climbs walls.","reptile；bask 晒太阳；regrow tail 再生尾巴。","","",""
"turtle","/ˈtɜːtl/","n.","动植物","义1. 龟；海龟","义1:
  • The turtle withdrew into its shell.
  • Sea turtles return to the beach where they hatched.
  • A turtle swam slowly past the reef.","shell 龟壳；hatch 孵化。tortoise 陆龟。","","",""
